事件码,反应时间,按键次数
1,587755,459
22,589337,460
1,589939,461
22,591437,462
1,592131,463
22,593654,464
1,594227,465
22,595937,466
1,596475,467
22,598187,468
1,598698,469
22,600454,470
1,601034,471
11,602637,472
2,603210,473
22,604770,474
1,605594,475
11,606904,476
2,607482,477
22,609187,478
1,609826,479
22,611354,480
1,611978,481
22,613637,482
1,614378,483
22,637853,484
1,638562,485
22,640153,486
1,640770,487
22,642303,488
1,642874,489
22,644520,490
1,645041,491
22,646653,492
1,647297,493
22,648819,494
1,649393,495
22,650869,496
1,651449,497
22,653086,498
1,653641,499
22,655236,500
1,655833,501
22,657403,502
1,657945,503
11,659636,504
2,660169,505
22,661853,506
1,662417,507
22,664019,508
1,664729,509
11,666186,510
2,666897,511
22,668219,512
1,668905,513
22,670502,514
1,671177,515
22,672586,516
1,673241,517
22,674786,518
1,675369,519
22,676869,520
1,677505,521
11,679036,522
2,679521,523
22,681135,524
1,681569,525
22,683352,526
1,683841,527
22,685452,528
1,686009,529
22,687719,530
1,688153,531
22,690002,532
1,690504,533
22,692135,534
1,692544,535
22,694252,536
1,694664,537
22,696319,538
1,696800,539
11,698435,540
2,698968,541
22,700718,542
1,701336,543
22,702802,544
1,703360,545
22,705018,546
1,705448,547
11,707252,548
2,707664,549
22,709302,550
1,709696,551
22,711518,552
1,711784,553
22,713835,554
1,714272,555
22,716018,556
1,716336,557
11,718251,558
2,718736,559
22,720535,560
1,720928,561
11,722618,562
2,723016,563
22,724901,564
1,725320,565
22,727001,566
1,727448,567
11,729034,568
2,729552,569
22,731234,570
1,731872,571
22,733534,572
1,734096,573
11,735818,574
2,736264,575
22,738084,576
1,738663,577
22,740234,578
1,740911,579
11,742468,580
2,742895,581
22,744568,582
1,745223,583
22,746867,584
1,747479,585
11,749117,586
2,749511,587
22,751367,588
1,751855,589
22,753517,590
1,754031,591
22,755634,592
1,756239,593
22,757717,594
1,758167,595
11,759851,596
2,760303,597
22,762100,598
1,762663,599
22,764317,600
1,764759,601
22,766367,602
1,766855,603
