事件码,反应时间,按键次数
32,1068794,460
1,1069672,461
33,1071728,462
2,1072615,463
32,1074677,464
1,1075735,465
33,1077794,466
2,1078567,467
32,1080627,468
1,1081447,469
32,1083511,470
1,1084295,471
32,1086361,472
1,1086991,473
32,1089061,474
1,1089671,475
32,1091727,476
1,1092343,477
32,1094410,478
1,1095087,479
33,1097144,480
2,1097927,481
33,1099994,482
2,1100735,483
33,1102794,484
2,1103991,485
33,1106060,486
2,1106831,487
32,1108893,488
1,1109783,489
32,1111843,490
1,1112895,491
32,1114960,492
1,1116255,493
33,1118310,494
2,1118990,495
32,1121060,496
1,1121710,497
32,1123776,498
1,1124430,499
33,1126493,500
2,1127206,501
32,1129276,502
1,1130222,503
33,1132276,504
2,1133350,505
104,1135393,506
102,1155494,507
103,1156409,508
42,1157942,509
1,1158718,510
2,1159718,511
43,1160776,512
2,1161398,513
43,1163459,514
2,1164182,515
43,1166242,516
2,1167061,517
43,1169126,518
2,1170061,519
43,1172125,520
2,1172893,521
43,1174959,522
2,1175701,523
42,1177759,524
1,1178573,525
43,1180642,526
2,1181269,527
42,1183325,528
1,1184157,529
43,1186225,530
2,1186981,531
42,1189042,532
1,1189837,533
42,1191892,534
1,1192709,535
42,1194775,536
1,1195469,537
42,1197525,538
1,1198413,539
42,1200475,540
1,1201245,541
42,1203308,542
1,1203933,543
43,1205991,544
2,1206565,545
43,1208625,546
2,1209637,547
43,1211691,548
2,1213061,549
43,1215125,550
2,1215972,551
42,1218041,552
1,1218948,553
42,1221008,554
1,1221884,555
42,1223941,556
1,1224628,557
43,1226691,558
2,1227340,559
42,1229408,560
1,1230092,561
42,1232158,562
1,1232988,563
43,1235058,564
2,1235964,565
42,1238024,566
1,1238724,567
43,1240791,568
2,1241732,569
104,1243774,570
2,1246588,571
102,1263875,572
103,1264790,573
52,1266307,574
1,1267203,575
53,1269257,576
2,1270115,577
53,1272157,578
2,1273003,579
53,1275057,580
2,1275939,581
53,1277990,582
2,1278651,583
53,1280690,584
2,1281451,585
53,1283490,586
2,1284131,587
52,1286173,588
1,1286931,589
53,1288973,590
2,1289683,591
52,1291723,592
1,1292515,593
53,1294556,594
2,1295355,595
52,1297406,596
1,1298235,597
52,1300273,598
1,1301059,599
52,1303106,600
1,1303875,601
52,1305923,602
1,1306642,603
52,1308689,604
1,1309370,605
52,1311423,606
1,1312162,607
53,1314206,608
2,1315162,609
53,1317206,610
2,1318410,611
53,1320456,612
2,1321322,613
53,1323372,614
2,1324210,615
52,1326256,616
1,1327098,617
52,1329139,618
1,1329978,619
52,1332022,620
1,1332690,621
53,1334739,622
2,1335546,623
52,1337589,624
1,1338474,625
52,1340522,626
1,1341274,627
53,1343322,628
2,1344010,629
52,1346055,630
1,1346898,631
53,1348939,632
2,1349874,633
105,1351922,634
102,1412023,635
103,1412937,636
31,1414471,637
2,1415400,638
31,1417470,639
2,1418344,640
32,1420404,641
1,1421168,642
32,1423237,643
1,1423936,644
31,1426004,645
2,1426744,646
32,1428804,647
1,1429592,648
31,1431653,649
2,1432592,650
32,1434653,651
1,1435512,652
32,1437570,653
1,1438248,654
31,1440303,655
2,1441080,656
31,1443137,657
2,1443888,658
32,1445953,659
1,1446672,660
32,1448736,661
1,1449455,662
32,1451520,663
1,1452383,664
31,1454453,665
2,1455303,666
31,1457370,667
2,1458311,668
32,1460370,669
1,1461367,670
32,1463436,671
1,1464079,672
31,1466136,673
2,1466903,674
31,1468969,675
2,1469671,676
32,1471736,677
1,1472791,678
31,1474853,679
2,1475599,680
32,1477669,681
1,1478415,682
31,1480469,683
2,1481559,684
31,1483619,685
2,1484383,686
31,1486452,687
2,1487319,688
32,1489386,689
1,1490223,690
31,1492286,691
2,1493263,692
32,1495319,693
1,1496375,694
32,1498435,695
1,1499222,696
104,1501269,697
102,1521369,698
103,1522285,699
41,1523818,700
2,1524902,701
41,1526968,702
2,1527958,703
42,1530018,704
1,1530974,705
42,1533035,706
1,1533758,707
41,1535818,708
2,1536542,709
42,1538601,710
1,1539214,711
41,1541268,712
2,1542421,713
42,1544485,714
1,1545309,715
42,1547368,716
1,1548189,717
41,1550251,718
2,1551213,719
41,1553268,720
2,1554093,721
42,1556151,722
1,1556861,723
42,1558918,724
1,1559725,725
42,1561784,726
1,1562501,727
41,1564567,728
2,1565677,729
41,1567734,730
2,1568517,731
42,1570584,732
1,1571597,733
42,1573667,734
1,1574621,735
41,1576684,736
2,1578045,737
41,1580100,738
2,1581261,739
42,1583317,740
1,1584141,741
41,1586200,742
2,1586981,743
42,1589050,744
1,1589860,745
41,1591917,746
2,1593324,747
41,1595383,748
2,1596276,749
41,1598333,750
2,1599276,751
42,1601333,752
1,1602124,753
41,1604183,754
2,1604988,755
42,1607050,756
1,1607764,757
42,1609833,758
1,1611068,759
104,1613116,760
102,1633217,761
103,1634133,762
33,1635666,763
2,1636412,764
32,1638466,765
1,1639195,766
32,1641249,767
1,1641803,768
33,1643866,769
2,1644779,770
33,1646849,771
2,1647619,772
33,1649682,773
2,1650603,774
32,1652666,775
1,1653603,776
33,1655666,777
2,1656339,778
33,1658399,779
2,1659243,780
33,1661299,781
2,1662187,782
33,1664249,783
2,1664923,784
33,1666982,785
2,1668059,786
32,1670115,787
1,1671299,788
32,1673365,789
1,1674075,790
32,1676132,791
1,1676875,792
33,1678932,793
2,1679547,794
32,1681615,795
1,1682330,796
32,1684398,797
1,1685402,798
33,1687465,799
2,1688546,800
33,1690615,801
2,1691354,802
33,1693415,803
2,1694202,804
32,1696265,805
1,1697322,806
32,1699381,807
1,1700402,808
32,1702465,809
1,1703314,810
33,1705381,811
2,1706114,812
32,1708181,813
1,1709042,814
33,1711098,815
2,1711762,816
32,1713831,817
1,1714786,818
32,1716848,819
1,1717586,820
32,1719648,821
1,1720234,822
104,1722281,823
102,1742381,824
103,1743297,825
43,1744830,826
2,1745721,827
42,1747780,828
1,1748449,829
42,1750514,830
1,1751385,831
43,1753447,832
2,1754089,833
43,1756147,834
2,1756793,835
43,1758847,836
2,1759417,837
42,1761480,838
1,1762249,839
43,1764313,840
2,1764913,841
43,1766980,842
2,1767745,843
43,1769813,844
2,1770793,845
43,1772846,846
2,1773857,847
43,1775913,848
2,1776897,849
42,1778963,850
1,1779744,851
42,1781813,852
1,1782688,853
42,1784746,854
1,1785760,855
43,1787830,856
2,1788672,857
42,1790729,858
1,1791584,859
42,1793646,860
1,1794384,861
43,1796446,862
2,1797496,863
43,1799563,864
2,1800616,865
43,1802679,866
2,1803328,867
42,1805396,868
1,1806320,869
42,1808379,870
1,1809528,871
42,1811596,872
1,1812408,873
43,1814462,874
2,1815272,875
42,1817329,876
1,1817992,877
43,1820046,878
2,1820688,879
42,1822745,880
1,1823527,881
42,1825595,882
1,1826271,883
42,1828329,884
1,1828975,885
104,1831029,886
102,1851129,887
103,1852045,888
53,1853561,889
2,1854559,890
52,1856611,891
1,1857631,892
52,1859678,893
1,1860671,894
53,1862711,895
2,1863655,896
53,1865695,897
2,1866567,898
53,1868611,899
2,1869662,900
52,1871711,901
1,1872590,902
53,1874628,903
2,1875462,904
53,1877511,905
2,1878438,906
53,1880478,907
2,1881174,908
53,1883228,909
2,1883742,910
53,1885794,911
2,1886550,912
52,1888594,913
1,1889494,914
52,1891544,915
1,1892670,916
52,1894711,917
1,1895286,918
53,1897327,919
2,1897902,920
52,1899944,921
1,1900550,922
52,1902594,923
1,1903246,924
53,1905294,925
2,1905910,926
53,1907960,927
2,1908678,928
53,1910727,929
2,1911246,930
52,1913294,931
1,1914126,932
52,1916177,933
1,1917005,934
52,1919043,935
1,1919893,936
53,1921943,937
2,1922597,938
52,1924643,939
1,1925317,940
53,1927360,941
2,1928093,942
52,1930143,943
1,1930909,944
52,1932960,945
1,1933549,946
52,1935593,947
1,1936317,948
106,1938360,949
